username,name,blitz_rating,time_control
eltrain1971,Elvin Wilson,2448,3+2
elyceum,Derek TAN,2359,3+0
en-quosantt,Timothy Chien En Lim,2325,5+0
energetichay,Jason Lu,2489,3+2
enki1010,,2519,3+0
epccmelech,Roy Greenberg,1588,3+2
ephraimrosenstockofficial,Ephraim Rosenstock,2701,3+0
ericthered78,Eric,2404,3+0
erinlafox,,2556,3+0
esrosenberg,Evan S. Rosenberg,2486,5+0
eugenefurman,Eugene Furman,2235,5+0
eugeniusjr,Ronald E Brumley Jr,1874,3+0
evergreen_64,Kyler Weatherspoon,2249,5+0
everyfishknows,Mitch Fishbein,2607,3+0
evilmorty23,Joseph Bellissimo,2611,3+0
exchange_sacrificer,,2400,3+2
exiledsaint,Tony Cesolini,2105,3+0
expii,Alex Wang,2110,3+2
ezwin4all,Shawn Wang,2075,5+0
fabianocarlsen,Jonathan Pagan,2707,3+0
falkentyne,Ike Miller,2387,3+2
falzehope0,Tyrell Harriott,2450,3+0
fastfaun,,2579,3+0
fastrat123,,2409,3+0
fcm002,Benson Schexnaydre,2360,180+1
fda-2010,Jeff Kelleher,1815,300+5
fernandovidalolmos,,2461,3+0
fetfrumosand,Alex Barbalat,2385,5+0
fever_code,,2777,3+0
fianchettoer,,2550,3+0
fickenfaith,,2536,3+0
fierydragon87,,2170,3+0
fightingchess,Martin Hansen,2401,3+0
financieru,Diego Garcia,2470,3+0
finec2,Andrew Metrick,2412,5+0
firespitter,,2116,5+0
firewoods,Maxim Yaskolko,2525,3+0
fischerfish2,,2117,3+2
fischwitsch,Dane Mattson,2183,3+0
fizzyband,Vincent W Stone,2633,3+0
fl00red,Craig Jones,1773,3+0
flaccidmoves,Dan Herman,2551,3+0
flagged-again,James Voelker,1910,300+5
flightsoffancy,Michael Walder,1991,300+5
flubs,Patrick Lacey,2512,3+0
forestferrari12,,2341,3+2
fourqueens13,Richard Selzler,2520,3+2
fpawn,Michael Aigner,2464,3+0
frank0288,Marty Frank,2290,5+0
frankiejay,Frank Johnson,2727,3+0
frederickrhine,Frederick Rhine,2105,5+2
frequentblunders,James Allen,2188,180+1
freshmozz,Graham Free,2434,5+0
friedgambit_08,Alexander Zhu,2409,3+0
friend_of_horse,,2307,3+0
frolik67,Nicholas Rosenthal,2673,3+0
fumitoks,Anton Osinenko,2563,120
gabrielschoenfeld55,GABRIEL SCHOENFELD,2016,5+0
galileo22,Owen McCoy,2731,3+0
ganzy,Ganesh Kumarappan,2113,3+0
gargleblaster,John Chernoff,2518,3+2
gatorcity,John Talghader,2599,3+0
gbidari,Glenn Bidari,2402,3+2
generalzod,Joshua Alexander,2746,3+0
gensunasumus,Will Moorhouse,2536,5+0
georgegrasser,George Grasser,2016,3+2
ggsyo1234,,2237,3+0
giantgoogachess,Gary Leschinsky,2688,3+0
gilliganslaststand,Adam Maltese,2580,3+0
giraffe_chess,Dave Mohan,2694,3+0
gm5050,,2241,3+2
gm64keys,,2413,3+0
gmarsenalaritro,Aritro Chakravarty,2220,5+0
gmemmancarter,Emmanuel Carter,2232,3+0
gmr7525,Rahul Mynala,2600,3+0
godelchess,Dennis Baker,2101,5+0
gogogogogogogogo5,Advaith Karthik,2708,3+2
goingin33,Nicky Korba,2507,3+0
goldenspine,Makaio Krienke,2600,3+0
gomeschess02,Ganesh Murugappan,2078,3+2
good_knight_kiss,Kevin Davidson,2514,3+0
goodoldbell,Vijay Srinivas Anandh,2735,3+0
goozack,Ben Amrany,2530,3+2
grandmasta23,Bryson Gregory,1885,3+0
grandmasterforester,Cole Blakeman,2099,3+0
grant06,Grant Peed,2362,3+0
grapefruitshapehead,Dion Su,2588,3+0
greatdamnedredspot,John Chutter,2383,5+0
greatunknown,Richard Robinson,1994,3+2
greenarrow02,Oliver Queen,2651,3+0
greggstanley,Gregg Stanley,2067,5+0
griffinmac,Griffin McConnell,2566,3+0
grumpyguru,Sarathi Ray,2270,3+2
gugutse,,2357,5+0
guineapig25,Brian Tay,2389,3+0
guineo59,Ruther Barredo,2389,5+0
gupta688,Ankit Gupta,2077,3+0
gurudub,Ganesh Manugappan,2127,3+2
guyford,,2029,3+2
gympod,Bradley Sawyer,2505,3+2
gyoung11,Gregory Young,2667,3+2
hangemhigh,Albert Rich,2022,5+0
hankmd,Hanchi Yao,2388,3+0
harkow,Bill Calton,2534,3+0
harshu27,Aditya Arutla,2466,3+2
harykane,Deepak Aaron,2777,3+0
hawkcallen,,2267,3+2
hazy13,Benjamin Snodgrass,2394,3+0
headshotromantest,Romeboy,2277,3+2
healthybrick2,Evan Ling,2578,3+0
heyerik,Erik Tkachenko,2545,3+0
hightide,Patrick Perry,2361,5+0
himmybuckets21,Rohit Guha,2325,5+2
hkburwell,Hunter Klotz-Burwell,2658,3+0
hollywood_chess,,2371,3+0
honeyy_mo0n,,2253,3+2
horofson7,,2610,3+0
horselover123,,2001,3+0
horsesgalore,Laurence Epstein,2069,3+0
hoshiboshi,Matthew Wofford,2401,3+2
hoshka,David Levine,2342,3+2
hoshor,Mark Hoshor,2276,3+0
hosta_mahogey,,2402,3+0
hot_chess,Justin Lee Gardner,2411,180+1
hurricane_morphy,Nick F Panico,2210,3+0
hushedboy,,2486,3+2
hypernova99,,2621,3+0
iamagrocerystore,Ariv DebMisra,2426,3+0
iamaveryfatcat,,2401,3+0
iamschrodingerscat,Paul Richter,2801,3+0
ibemadhappy,,2519,3+0
ice_storm,Eric Most,2136,5+0
icedkings,Larry Sivitz,1952,5+0
ichiban-misaka-simp,,2250,3+0
ifrancisco,Francisco Guadalupe,2624,3+0
ihavecometodefeatyou,Rishabh Chinni,2266,3+0
ijustmightsac,Philemon Thomas,2181,3+0
ike_miller,Ike Miller,2427,3+2
ilovetheamazon,,2516,3+0
ilusha,Ilya Krasik,1943,3+0
imbetterthandre,Richard Perry,2255,3+0
imdarealist,Jonathan Hrach,2369,3+0
immortal_jellyfishes,Austin Jin,2350,3+0
imshanmeruga,Shanmukha Meruga,2517,3+0
inde-finitely,Doodoo Head,2104,3+0
infinitypoint,Linden Lee,2645,5+0
iostnala,,1941,5+0
ironiasudby,G. K.,2611,3+0
isaiahkim12,Isaiah Kim,1691,3+2
israeliking,Daniel Mousseri,2555,3+0
itshere,Glenn Bady,2159,5+0
itsmyknights,Arthur Braden,2193,600
iwant2lose,Ben Al-shami,2346,3+0
jackhearts,Aja Sampath,2554,3+0
jacksonchen,Jackson Chen,2048,3+2
jacobsfrog,,2593,3+0
jahonas,Ken Arnold,2475,3+0
jamesaltucher,James Altucher,2102,3+2
jamesjiho,James Marsh,2140,3+2
janespet,,1850,5+0
jat0123,,2559,3+0
jawschess1955,Oliver Chernin,2073,3+0
jcarlson_13,Joaquin Carlson,2345,3+0
jcpoza1971,Juan Poza,2410,3+0
jdpachess,Jesse Davidson,2534,3+0
jdpino,Juan Pino,2338,5+0
jeaston1,Jack Easton,2378,3+2
jessejames88tx,Jesse James,2339,3+0
jessicahyatt,Jessica Hyatt,2329,3+2
jgroffct,Jordan Groff,2559,3+0
jheiserman,Jimmy Heiserman,2602,3+0
jimmmyzhang,Raghav Venkat,2566,180+1
jkidjr22,,2700,3+0
jnitz,James Nitz,2456,3+2
jo2437,,2528,3+0
joegoldberg13,,2388,3+0
johnchess7,John Smithwick,1914,3+0
johnnycagemk2,,2302,5+0
jonathanchess15,,2279,3+0
jonathanhilton,Jonathan Hilton,2084,3+0
jonathanhilton1,Jonathan Hilton,2196,5+0
jonfrankle,,2187,300+5
jonmeista,Jonathan B Crumiller,2139,3+2
joseph_truelson,Joseph Truelson,2462,3+0
joshuacao,Joshua Cao,2426,5+0
joshweinstein,Josh Weinstein,2381,3+0
jptica,JUAN TICA,2312,5+0
jsinanan,Josh Sinanan,1725,5+0
judgeholden13,Jason Cigan,2273,3+0
juice_wr1d,,2851,3+0
julianlinchess,Julian Lin,2279,3+2
julianproleiko,Julian Proleiko,2751,3+0
just2passtime,Narciso Victoria,2216,600
justinburgess,Justin Burgess,2055,3+0
jwwny76,John Wright,2288,5+0
kallerotmg,,2271,3+0
kalxandria,Juan Sena,2217,5+0
kamranraw,Kamran Rawshani,2681,3+0
kanthecarowin,,2703,5+0
kapishp1,Kapish Potula,2274,3+2
karjanr,Karthik Ramachandran,2388,3+0
kchor05,Kevin Chor,2682,3+0
keepitcool9499,Ansh Shah,2590,5+0
kensei26,Robert Akopian,2431,3+0
kereswasbest,Farzad Abdi,2200,3+0
kevinwangde,Kevin Wang,2668,3+2
kgambitman,Michael Joelson,1762,5+0
khansnephew,Andrew Flores,1927,3+2
kharposh,farzad abdi,2449,3+0
kinetix,Jason M Drake,2352,3+0
kingbuilder001,,2429,3+0
kingd356,,2543,3+0
kingdestroyer3000,,2094,3+0
kingmontecristo,,2918,3+0
kingwalk456,,2380,3+0
kirillovo,Artur Safin,2449,3+2
kismet6,Chris Pensoneau,1954,3+0
kkpanu9,kireet panuganti,2307,3+0
kleong12,Kevin Fong,2340,5+0
kli19002,Kevin Li,1945,3+0
